id,name,hrID
8445371,Real Chevrefils,chevrre01
8445405,Harvey Bennett Jr
8445311,Frank Callighen
8445344,Bob Carse,carsebo01
8445312,Billy Cameron,camerbi01
8445407,Alain Belanger,belanal01
8445330,Ed Carpenter,carpeed01
8445307,Herb Cain,cainhe01
8445313,Craig Cameron,camercr01
8445340,George Carroll,carroge01
8445377,Art Chisholm,chishar01
8445327,Wayne Carleton,carlewa01
8445328,Brian Carlin,carlibr01
8445399,John Bednarski,bednajo01
8445375,Yves Beaudoin,beaudyv01
8445693,Mario Brunetta,brunema01
8445374,Serge Beaudoin,beaudse01
8445652,Mike Boyd
8445157,Doug Brennan,brenndo01
8445329,Alain Caron,caronal01
8445696,Carl Brewer,breweca01
8445700,Jeff Brown,brownje02
8445424,Bill Berg,bergbi01
8445998,Tim Ecclestone,eccleti01
8445987,Ron Carter,cartero01
8445983,Billy Carroll,carrobi01
8445695,Gary Bromley,bromlga01
8445981,Greg Carroll,carrogr01
8445979,Jimmy Carson,carsoji01
8445995,Jack Dyte,dyteja01
8445977,Bobby Carpenter,carpebo01
8445980,Larry Carriere,carrila01
8445346,Frank Carson,carsofr01
8445999,Frank Eddolls,eddolfr01
8445159,Tom Brennan,brennto01
8445164,Doug Brindley,brinddo01
8445161,Joe Bretto,brettjo01
8445357,Chick Chalmers,chalmch01
8445636,Andre Corriveau,corrian01
8445582,Serge Boisvert,boisvse01
8445599,Dan Bolduc
8445602,Dan Bonar,bonarda01
8445562,Mike Bloski
8445567,Bob Bodak,bodakbo01
8445600,J.P. Bordeleau,bordejp01
8445584,Fred Boimistruck,boimifr01
8445597,Jim Boo,booji01
8445638,Murray Costello,costemu01
8445434,Bo Berglund,berglbo01
8445440,Craig Berube,berubcr01
8445439,Lex Chisholm,chishle01
8445387,Guy Benoit
8445384,Rick Bennett,benneri01
8445437,Timothy Bergland
8445388,Jim Bedard,bedarji01
8445386,Ed Belfour,belfoed01
8445438,Jean Claude Bergeron
8445435,Mike Berger,bergemi02
8445436,Jonas Bergqvist,bergqjo01
8445369,Don Cherry,cherrdo01
8445353,Sandy Beadle,beadlsa01
8445362,Art Chapman,chapmar01
8445613,Bruce Boudreau,boudrbr01
8445363,Bob Charlebois,charlbo01
8445403,Yves Belanger
8445400,Curt Bennett,bennecu01
8445397,Barry Beck,beckba01
8445356,Darren Beals
8445611,Mike Bossy,bossymi01
8445359,Andre Champagne,champan01
8445358,Murph Chamberlain,chambmu01
8445637,Les Costello,costele01
8445615,Rick Bourbonnais,bourbri01
8445361,Kevin Beaton
8445628,Dan Bourbonnais,bourbda01
8445366,Dick Cherry,cherrdi01
8445360,Frank Beaton,beatofr01
8445395,Eddy Beers,beersed01
8445365,Mike Chernoff,chernmi01
8445416,Jim Benning,benniji01
8445414,Bill Bennett,bennebi01
8445413,Drake Berehowsky,berehdr01
8445653,Randy Boyd,boydra01
8445364,Lude Check,checklu01
8445682,Greg Britz,britzgr01
8445690,Bob Brooke,brookbo01
8445415,Neil Belland,bellane01
8445745,Gerry Couture,coutuge01
8445749,Bruce Cowick,cowicbr01
8445734,Benoit Brunet
8445744,Billy Coutu,coutubi01
8445740,Jack Coughlin,coughja01
8445747,Bob Blake,blakebo01
8445800,Ron Busniuk,busniro01
8445742,Art Coulter,coultar01
8445746,Rosie Couture,couturo01
8445802,Rusty Crawford,crawfru01
8445743,John Ingram,ingrajo01
8445796,Rod Buskas,buskaro01
8445798,Mike Busniuk,busnimi01
8445752,Randy Bucyk,bucykra01
8445738,Francis Breault,breaufr01
8445609,Dan Bouchard,bouchda01
8445869,Jean Paul Denis
8445865,Alex Delvecchio,delveal01
8445868,Tony Demers,demerto01
8445873,Corb Denneny,denneco01
8445547,Bob Copp
8445529,Bill Cook,cookbi01
8445527,Eddie Convey,conveed01
8445559,John Blum,blumjo01
8445579,Chuck Corrigan,corrich01
8445857,Butch Deadmarsh,deadmbu01
8445860,Drew Callander,calladr01
8445850,Bob Davis,davisbo01
8445859,Brett Callighen,callibr01
8445856,Don Deacon,deacodo01
8445852,Murray Davison,davismu01
8445855,Billy Dea,deabi01
8445848,Bob Davie,daviebo01
8445385,Bob Beers,beersbo01
8445853,Bob Dawes,dawesbo01
8445858,Eric Calder,caldeer01
8445854,Hap Day,dayha01
8445849,Buck Davies,daviebu01
8445835,Ian Cushenan,cusheia01
8445558,Rick Blight,blighri01
8445843,Harold Darragh,darraha01
8445874,Cy Denneny,dennecy01
8445872,Lulu Denis,denislu01
8445866,Ab DeMarco Sr.
8445851,Lorne Davis,davislo01
8445839,Frank Daley,daleyfr01
8445572,Mike Corbett,corbemi01
8445601,Paulin Bordeleau,bordepa01
8445583,Michel Bolduc,boldumi01
8445573,Norm Corcoran,corcono01
8445575,Peter Bondra,bondrpe01
8445580,Rick Boh,bohri01
8445571,Bert Corbeau,corbebe01
8445712,Dave Brown,brownda01
8445557,Timo Blomqvist,blomqti01
8445654,Darren Boyko,boykoda01
8445618,Pat Boutette,boutepa01
8445631,Jean Boutin
8445672,Brian Bradley,bradlbr02
8445667,Rick Bragnalo,bragnri01
8445470,Craig Billington,billicr01
8445497,Sprague Cleghorn,cleghsp01
8445465,Bob Chrystal,chrysbo01
8445467,Jack Church,churcja01
8445462,Daniel Berthiaume,berthda01
8445468,Hank Ciesla,cieslha01
8445463,Don Biggs,biggsdo01
8445530,Bob Cook,cookbo01
8445989,John Carter,cartejo02
8445792,Dave Burrows,burroda01
8445825,Barry Cullen,culleba01
8445832,Hugh Currie,currihu01
8445789,Shawn Burr,burrsh01
8445831,Bill Cupolo,cupolbi01
8445826,Brian Cullen,cullebr01
8445809,Glen Cressman,cressgl01
8445828,Barry Cummins,cummiba01
8445808,Jerry Butler,butleje01
8445810,Bill Butters,buttebi01
8445805,Dave Creighton,creigda01
8445807,Dave Cressman,cressda01
8445846,Bob Davidson,davidbo01
8445937,Anders Carlsson,carlsan01
8445841,Bunny Dame,damebu01
8445951,Rene Drolet,drolere01
8445773,Ted Bulley,bullete01
8445944,Eddie Dorohoy,dorohed01
8445943,Gary Dornhoefer,dornhga01
8445806,Jimmy Creighton,creigji01
8445938,Randy Carlyle,carlyra01
8445955,Herb Drury,druryhe01
8445953,Polly Drouin,drouipo01
8445950,Gordie Drillon,drillgo01
8445957,Dick Duff,duffdi01
8445968,Duke Dukowski,dukowdu01
8445949,Bruce Draper,drapebr01
8445956,Gilles Dube,dubegi01
8445959,John Duggan,duggajo01
8445967,Norm Dussault,dussano01
8445958,Marc Dufour,dufouma01
8445954,Jim Drummond,drummji01
8445655,Greg Brown,browngr01
8445523,Bert Connelly,connebe01
8445520,Tom Bladon,bladoto01
8445834,Paul Curtis,curtipa01
8445960,Lorne Duguid,duguilo01
8445535,Fred Cook
8445771,Mike Bullard,bullami01
8445769,Sean Burke,burkese01
8445623,Charlie Bourgeois,bourgch01
8445966,Jacques Caron,caronja01
8445775,Marc Bureau,bureama01
8445590,Mike Boland,bolanmi01
8445546,Mike Blaisdell,blaismi01
8445875,Norm Dennis,dennino01
8445619,Roland Boutin
8445728,David Bruce,bruceda01
8445790,Randy Burridge,burrira01
8445833,Floyd Curry,curryfl01
8445525,Harry Connor,connoha01
8445526,Bob Connors,connobo01
8445515,Pete Conacher,conacpe01
8445518,Red Conn,connre01
8445621,Ray Bourque,bourqra01
8445626,Mark Botell,botelma01
8445897,Kevin Campbell
8445719,Jack Brownschidle,brownja01
8445625,Paul Boutilier,boutipa01
8445541,Carson Cooper,coopeca01
8445536,Lloyd Cook,cookll01
8445517,Roy Conacher,conacro01
8445864,Val Delory,delorva01
8445521,Wayne Connelly,connewa01
8445533,Bud Cook,cookbu02
8445542,Hal Cooper,coopeha01
8445537,Tom Cook,cookto01
8445551,Mike Blake,blakemi02
8445965,Steve Durbano,durbast01
8445578,Roger Cormier,cormiro01
8445878,Dave Cameron,camerda01
8445779,Timothy Burke
8445733,Kelly Buchberger,buchbke01
8445782,Brian Burke
8445741,D'arcy Coulson,coulsda01
8445880,James Camazzola,camazja01
8445723,Jeff Brubaker,brubaje01
8445683,Andy Brickley,brickan01
8445685,Mel Bridgman,bridgme01
8445689,Rob Brown,brownro01
8445694,Richard Brodeur,broderi01
8445419,Brian Benning,bennibr01
8445423,Benoit Hogue
8445428,Marc Bergevin,bergema01
8445418,Bruce Bell,bellbr01
8445421,Todd Bergen,bergeto01
8445425,Paul Beraldo,beralpa01
8445417,Brian Bellows,bellobr01
8445427,Perry Berezan,berezpe01
8445783,Adam Burt,burtad01
8445568,Doug Bodger,bodgedo01
8445614,Mike Corrigan,corrimi01
8445604,Tim Bothwell,bothwti01
8445095,Chuck Blair,blairch01
8445111,Leo Boivin,boivile01
8445107,Garth Boesch,boescga01
8445100,Ken Block,blockke01
8445109,Rene Boileau,boilere01
8445103,Don Ashby,ashbydo01
8445725,Aaron Broten,broteaa01
8445877,Alan Cameron
8445676,Ken Breitenbach,breitke01
8445715,Jeff Brownschidle,brownje01
8445099,Russ Blinco,blincru01
8445104,Gregg Boddy,boddygr01
8445105,Gus Bodnar,bodnagu01
8445098,Toe Blake,blaketo01
8445097,Mickey Blake,blakemi01
8445101,Mike Bloom,bloommi01
8445096,Dusty Blair,blairdu01
8445106,Ron Boehm,boehmro01
8445736,Paul Broten,brotepa01
8445730,Doug Brown,browndo01
8445793,Nelson Burton,burtone01
8445827,Ray Cullen,cullera01
8445829,Bob Cunningham,cunnibo01
8445612,Pierre Bouchard,bouchpi01
8445803,Garth Butcher,butchga01
8445735,Rod Brind'Amour,brindro01
8445739,Patrice Brisebois,brisepa01
8445969,Red Dutton,duttore01
8445963,Frank Dunlap,dunlafr01
8445754,Bill Cowley,cowlebi01
8445962,Art Duncan,duncaar01
8445762,Danny Cox,coxda01
8445971,Henry Dyck,dyckhe01
8445711,Jim Brown,brownji01
8445724,Neal Broten,brotene01
8445764,Bart Crashley,crashba01
8445458,Allan Bester,besteal01
8445819,Joe Crozier,crozijo01
8445456,Nick Beverley,beverni01
8445821,Lyndon Byers,byersly01
8445824,Nels Crutchfield,crutcne01
8445818,Stan Crossett,crossst01
8445823,Shawn Byram,byramsh01
8445451,Doug Berry,berrydo01
8445817,Maurice Croghan,croghma01
8445813,Gord Buynak,buynago01
8445816,Terry Crisp,crispte01
8445820,Jerry Byers,byersje01
8445814,John Byce,bycejo01
8445722,Murray Brumwell,brumwmu01
8445457,Marc Behrend,behrema01
8445680,Dan Brennan,brennda01
8445787,Gary Burns,burnsga01
8445446,Serge Bernier,bernise01
8445757,John Buda
8445449,Tim Bernhardt,bernhti01
8445761,John Beukeboom
8445443,Brad Berry,berrybr01
8445442,Gene Chouinard,chouige01
8445454,John Bethel,bethejo01
8445704,Gord Brooks,brookgo01
8445461,Jeff Beukeboom,beukeje01
8445591,Ivan Boldirev,boldiiv01
8445830,Les Cunningham,cunnile01
8445753,Richard Brown
8445729,Paul Brydges,brydgpa01
8445713,Keith Brown,brownke02
8445964,Denis Dupere
8445972,Babe Dye,dyeba01
8445961,Woody Dumart,dumarwo01
8445644,Charlie Cotch,cotchch01
8445496,Odie Cleghorn,cleghod01
8445445,Thommie Bergman,bergmth01
8445460,Wayne Bianchin,biancwa01
8445922,Gary Donaldson,donalga01
8445911,Chuck Dinsmore,dinsmch01
